2025-12-04T12:36:15.083648 | Episode 1 | reward: 23.2833 | coverage: 0.3333 | loss: 0.0000 | episode: 1
2025-12-04T12:36:15.192402 | Episode 2 | reward: 13.6333 | coverage: 0.1667 | loss: 0.0000 | episode: 2
2025-12-04T12:36:15.289088 | Episode 3 | reward: 13.4500 | coverage: 0.3333 | loss: 0.0000 | episode: 3
2025-12-04T12:36:15.402396 | Episode 4 | reward: 33.4167 | coverage: 0.1667 | loss: 0.0000 | episode: 4
2025-12-04T12:36:15.499186 | Episode 5 | reward: 23.3333 | coverage: 0.1667 | loss: 0.0000 | episode: 5
2025-12-04T12:36:15.609883 | Episode 6 | reward: 22.7333 | coverage: 0.3333 | loss: 0.0000 | episode: 6
2025-12-04T12:36:15.708721 | Episode 7 | reward: 22.6000 | coverage: 0.3333 | loss: 0.0000 | episode: 7
2025-12-04T12:36:15.820220 | Episode 8 | reward: 20.1833 | coverage: 0.3333 | loss: 0.0000 | episode: 8
2025-12-04T12:36:15.936027 | Episode 9 | reward: 10.7000 | coverage: 0.1667 | loss: 0.0000 | episode: 9
2025-12-04T12:36:16.043263 | Episode 10 | reward: 18.1167 | coverage: 0.1667 | loss: 0.0000 | episode: 10
2025-12-04T12:36:16.138529 | Episode 11 | reward: 8.7667 | coverage: 0.3333 | loss: 0.0000 | episode: 11
2025-12-04T12:36:16.238564 | Episode 12 | reward: 14.5500 | coverage: 0.1667 | loss: 0.0000 | episode: 12
2025-12-04T12:36:16.347343 | Episode 13 | reward: 14.3667 | coverage: 0.1667 | loss: 0.0000 | episode: 13
2025-12-04T12:36:16.446739 | Episode 14 | reward: 17.4833 | coverage: 0.0000 | loss: 0.0000 | episode: 14
2025-12-04T12:36:16.541784 | Episode 15 | reward: 14.9000 | coverage: 0.0000 | loss: 0.0000 | episode: 15
2025-12-04T12:36:16.633332 | Episode 16 | reward: 23.4333 | coverage: 0.1667 | loss: 0.0000 | episode: 16
2025-12-04T12:36:16.749514 | Episode 17 | reward: 21.2167 | coverage: 0.3333 | loss: 0.0000 | episode: 17
2025-12-04T12:36:16.852636 | Episode 18 | reward: 14.5667 | coverage: 0.1667 | loss: 0.0000 | episode: 18
2025-12-04T12:36:16.953700 | Episode 19 | reward: 25.7667 | coverage: 0.1667 | loss: 0.0000 | episode: 19
2025-12-04T12:36:17.047180 | Episode 20 | reward: 24.8833 | coverage: 0.1667 | loss: 0.0000 | episode: 20
2025-12-04T12:36:17.155405 | Episode 21 | reward: 25.2167 | coverage: 0.1667 | loss: 0.0000 | episode: 21
2025-12-04T12:36:17.259367 | Episode 22 | reward: 8.8333 | coverage: 0.0000 | loss: 0.0000 | episode: 22
2025-12-04T12:36:17.373527 | Episode 23 | reward: 13.6667 | coverage: 0.1667 | loss: 0.0000 | episode: 23
2025-12-04T12:36:17.484783 | Episode 24 | reward: 22.5500 | coverage: 0.5000 | loss: 0.0000 | episode: 24
2025-12-04T12:36:17.593869 | Episode 25 | reward: 12.0333 | coverage: 0.0000 | loss: 0.0000 | episode: 25
2025-12-04T12:36:17.702160 | Episode 26 | reward: 12.2000 | coverage: 0.0000 | loss: 0.0000 | episode: 26
2025-12-04T12:36:17.811665 | Episode 27 | reward: 22.1833 | coverage: 0.3333 | loss: 0.0000 | episode: 27
2025-12-04T12:36:17.927811 | Episode 28 | reward: 19.9667 | coverage: 0.1667 | loss: 0.0000 | episode: 28
2025-12-04T12:36:18.023971 | Episode 29 | reward: 15.6333 | coverage: 0.6667 | loss: 0.0000 | episode: 29
2025-12-04T12:36:18.116024 | Episode 30 | reward: 13.0833 | coverage: 0.1667 | loss: 0.0000 | episode: 30
2025-12-04T12:36:18.214662 | Episode 31 | reward: 8.6000 | coverage: 0.1667 | loss: 0.0000 | episode: 31
2025-12-04T12:36:20.193414 | Episode 32 | reward: 22.6833 | coverage: 0.3333 | loss: 0.0289 | episode: 32
2025-12-04T12:36:22.079852 | Episode 33 | reward: 7.2833 | coverage: 0.1667 | loss: 0.0163 | episode: 33
2025-12-04T12:36:23.950590 | Episode 34 | reward: 10.3667 | coverage: 0.1667 | loss: 0.0154 | episode: 34
2025-12-04T12:36:25.841520 | Episode 35 | reward: 22.3167 | coverage: 0.0000 | loss: 0.0149 | episode: 35
2025-12-04T12:36:27.670694 | Episode 36 | reward: 10.5667 | coverage: 0.0000 | loss: 0.0146 | episode: 36
2025-12-04T12:36:29.544662 | Episode 37 | reward: 24.2167 | coverage: 0.1667 | loss: 0.0152 | episode: 37
2025-12-04T12:36:31.342708 | Episode 38 | reward: 27.1333 | coverage: 0.3333 | loss: 0.0157 | episode: 38
2025-12-04T12:36:33.115593 | Episode 39 | reward: 24.3333 | coverage: 0.3333 | loss: 0.0158 | episode: 39
2025-12-04T12:36:35.036584 | Episode 40 | reward: 20.3167 | coverage: 0.1667 | loss: 0.0152 | episode: 40
2025-12-04T12:36:36.802373 | Episode 41 | reward: 8.9000 | coverage: 0.0000 | loss: 0.0151 | episode: 41
2025-12-04T12:36:38.715474 | Episode 42 | reward: 12.8500 | coverage: 0.0000 | loss: 0.0147 | episode: 42
2025-12-04T12:36:40.435079 | Episode 43 | reward: 19.7833 | coverage: 0.1667 | loss: 0.0154 | episode: 43
2025-12-04T12:36:42.271426 | Episode 44 | reward: 17.5500 | coverage: 0.1667 | loss: 0.0135 | episode: 44
2025-12-04T12:36:44.007787 | Episode 45 | reward: 8.0333 | coverage: 0.0000 | loss: 0.0136 | episode: 45
2025-12-04T12:36:45.800481 | Episode 46 | reward: 15.7500 | coverage: 0.6667 | loss: 0.0134 | episode: 46
2025-12-04T12:36:47.600196 | Episode 47 | reward: 24.9667 | coverage: 0.3333 | loss: 0.0142 | episode: 47
2025-12-04T12:36:49.429577 | Episode 48 | reward: 22.3167 | coverage: 0.3333 | loss: 0.0142 | episode: 48
2025-12-04T12:36:51.255329 | Episode 49 | reward: 18.0833 | coverage: 0.3333 | loss: 0.0146 | episode: 49
2025-12-04T12:36:53.075024 | Episode 50 | reward: 23.5000 | coverage: 0.3333 | loss: 0.0134 | episode: 50
2025-12-04T12:36:55.266741 | Episode 51 | reward: 25.7000 | coverage: 0.1667 | loss: 0.0139 | episode: 51
2025-12-04T12:36:57.001511 | Episode 52 | reward: 25.7833 | coverage: 0.1667 | loss: 0.0149 | episode: 52
2025-12-04T12:36:58.944933 | Episode 53 | reward: 13.9833 | coverage: 0.3333 | loss: 0.0148 | episode: 53
2025-12-04T12:37:00.658934 | Episode 54 | reward: 20.4167 | coverage: 0.0000 | loss: 0.0144 | episode: 54
2025-12-04T12:37:02.518115 | Episode 55 | reward: 22.9500 | coverage: 0.1667 | loss: 0.0160 | episode: 55
2025-12-04T12:37:04.420376 | Episode 56 | reward: 11.5000 | coverage: 0.0000 | loss: 0.0145 | episode: 56
