2025-12-04T12:11:03.438048 | Episode 1 | reward: 14.6167 | coverage: 0.3333 | loss: 0.0000 | episode: 1
2025-12-04T12:11:03.525825 | Episode 2 | reward: 17.3667 | coverage: 0.1667 | loss: 0.0000 | episode: 2
2025-12-04T12:11:03.602572 | Episode 3 | reward: 13.6167 | coverage: 0.3333 | loss: 0.0000 | episode: 3
2025-12-04T12:11:03.679066 | Episode 4 | reward: 22.1500 | coverage: 0.0000 | loss: 0.0000 | episode: 4
2025-12-04T12:11:03.763028 | Episode 5 | reward: 25.7333 | coverage: 0.3333 | loss: 0.0000 | episode: 5
2025-12-04T12:11:03.850673 | Episode 6 | reward: 21.6500 | coverage: 0.3333 | loss: 0.0000 | episode: 6
2025-12-04T12:11:03.941978 | Episode 7 | reward: 12.1333 | coverage: 0.0000 | loss: 0.0000 | episode: 7
2025-12-04T12:11:04.027671 | Episode 8 | reward: 18.3667 | coverage: 0.5000 | loss: 0.0000 | episode: 8
2025-12-04T12:11:04.113677 | Episode 9 | reward: 11.0667 | coverage: 0.1667 | loss: 0.0000 | episode: 9
2025-12-04T12:11:04.196310 | Episode 10 | reward: 20.2000 | coverage: 0.0000 | loss: 0.0000 | episode: 10
2025-12-04T12:11:04.298809 | Episode 11 | reward: 11.1833 | coverage: 0.5000 | loss: 0.0000 | episode: 11
2025-12-04T12:11:04.389310 | Episode 12 | reward: 17.8333 | coverage: 0.1667 | loss: 0.0000 | episode: 12
2025-12-04T12:11:04.473722 | Episode 13 | reward: 18.0333 | coverage: 0.3333 | loss: 0.0000 | episode: 13
2025-12-04T12:11:04.565708 | Episode 14 | reward: 14.0167 | coverage: 0.1667 | loss: 0.0000 | episode: 14
2025-12-04T12:11:04.650887 | Episode 15 | reward: 19.3333 | coverage: 0.1667 | loss: 0.0000 | episode: 15
2025-12-04T12:11:04.730922 | Episode 16 | reward: 26.6833 | coverage: 0.1667 | loss: 0.0000 | episode: 16
2025-12-04T12:11:04.814396 | Episode 17 | reward: 21.0000 | coverage: 0.1667 | loss: 0.0000 | episode: 17
2025-12-04T12:11:04.901525 | Episode 18 | reward: 14.5167 | coverage: 0.1667 | loss: 0.0000 | episode: 18
2025-12-04T12:11:04.984604 | Episode 19 | reward: 41.1833 | coverage: 0.5000 | loss: 0.0000 | episode: 19
2025-12-04T12:11:05.071064 | Episode 20 | reward: 25.3000 | coverage: 0.1667 | loss: 0.0000 | episode: 20
2025-12-04T12:11:05.154684 | Episode 21 | reward: 23.1000 | coverage: 0.3333 | loss: 0.0000 | episode: 21
2025-12-04T12:11:05.240033 | Episode 22 | reward: 28.5833 | coverage: 0.3333 | loss: 0.0000 | episode: 22
2025-12-04T12:11:05.325048 | Episode 23 | reward: 13.1167 | coverage: 0.0000 | loss: 0.0000 | episode: 23
2025-12-04T12:11:05.420337 | Episode 24 | reward: 15.0000 | coverage: 0.1667 | loss: 0.0000 | episode: 24
2025-12-04T12:11:05.545614 | Episode 25 | reward: 25.4167 | coverage: 0.5000 | loss: 0.0000 | episode: 25
2025-12-04T12:11:05.634829 | Episode 26 | reward: 16.6667 | coverage: 0.0000 | loss: 0.0000 | episode: 26
2025-12-04T12:11:05.738973 | Episode 27 | reward: 23.2167 | coverage: 0.3333 | loss: 0.0000 | episode: 27
2025-12-04T12:11:05.826661 | Episode 28 | reward: 19.7000 | coverage: 0.1667 | loss: 0.0000 | episode: 28
2025-12-04T12:11:05.913148 | Episode 29 | reward: 17.0667 | coverage: 0.3333 | loss: 0.0000 | episode: 29
2025-12-04T12:11:06.029202 | Episode 30 | reward: 12.0000 | coverage: 0.3333 | loss: 0.0000 | episode: 30
2025-12-04T12:11:06.168375 | Episode 31 | reward: 14.2667 | coverage: 0.1667 | loss: 0.0000 | episode: 31
2025-12-04T12:11:08.875691 | Episode 32 | reward: 15.8000 | coverage: 0.0000 | loss: 0.0353 | episode: 32
2025-12-04T12:11:10.756698 | Episode 33 | reward: 7.4667 | coverage: 0.3333 | loss: 0.0163 | episode: 33
2025-12-04T12:11:14.606128 | Episode 34 | reward: 17.0833 | coverage: 0.1667 | loss: 0.0148 | episode: 34
2025-12-04T12:11:18.850841 | Episode 35 | reward: 20.8333 | coverage: 0.1667 | loss: 0.0149 | episode: 35
2025-12-04T12:11:21.104142 | Episode 36 | reward: 11.3500 | coverage: 0.0000 | loss: 0.0142 | episode: 36
2025-12-04T12:11:22.887653 | Episode 37 | reward: 25.1833 | coverage: 0.5000 | loss: 0.0140 | episode: 37
2025-12-04T12:11:24.887585 | Episode 38 | reward: 12.7500 | coverage: 0.0000 | loss: 0.0140 | episode: 38
2025-12-04T12:11:26.705949 | Episode 39 | reward: 21.3333 | coverage: 0.0000 | loss: 0.0143 | episode: 39
2025-12-04T12:11:28.646280 | Episode 40 | reward: 28.5333 | coverage: 0.1667 | loss: 0.0148 | episode: 40
2025-12-04T12:11:30.536666 | Episode 41 | reward: 9.0667 | coverage: 0.1667 | loss: 0.0143 | episode: 41
2025-12-04T12:11:32.763618 | Episode 42 | reward: 9.3667 | coverage: 0.1667 | loss: 0.0146 | episode: 42
2025-12-04T12:11:37.031674 | Episode 43 | reward: 13.5500 | coverage: 0.1667 | loss: 0.0136 | episode: 43
2025-12-04T12:11:41.229914 | Episode 44 | reward: 16.3000 | coverage: 0.1667 | loss: 0.0142 | episode: 44
2025-12-04T12:11:45.577936 | Episode 45 | reward: 9.0333 | coverage: 0.0000 | loss: 0.0141 | episode: 45
2025-12-04T12:11:49.737034 | Episode 46 | reward: 15.7333 | coverage: 0.6667 | loss: 0.0141 | episode: 46
2025-12-04T12:11:53.907488 | Episode 47 | reward: 37.7333 | coverage: 0.3333 | loss: 0.0144 | episode: 47
2025-12-04T12:11:58.004751 | Episode 48 | reward: 16.6167 | coverage: 0.3333 | loss: 0.0138 | episode: 48
2025-12-04T12:12:02.175270 | Episode 49 | reward: 15.4500 | coverage: 0.1667 | loss: 0.0138 | episode: 49
2025-12-04T12:12:06.279126 | Episode 50 | reward: 20.4833 | coverage: 0.5000 | loss: 0.0137 | episode: 50
2025-12-04T12:12:11.323174 | Episode 51 | reward: 20.8167 | coverage: 0.1667 | loss: 0.0141 | episode: 51
2025-12-04T12:12:15.664538 | Episode 52 | reward: 27.6000 | coverage: 0.5000 | loss: 0.0137 | episode: 52
2025-12-04T12:12:19.828671 | Episode 53 | reward: 10.9000 | coverage: 0.0000 | loss: 0.0148 | episode: 53
2025-12-04T12:12:23.989782 | Episode 54 | reward: 14.6167 | coverage: 0.5000 | loss: 0.0133 | episode: 54
2025-12-04T12:12:28.197499 | Episode 55 | reward: 22.6333 | coverage: 0.3333 | loss: 0.0139 | episode: 55
2025-12-04T12:12:32.260119 | Episode 56 | reward: 19.9833 | coverage: 0.0000 | loss: 0.0130 | episode: 56
2025-12-04T12:12:36.378675 | Episode 57 | reward: 27.4667 | coverage: 0.0000 | loss: 0.0157 | episode: 57
2025-12-04T12:12:40.565007 | Episode 58 | reward: 22.8333 | coverage: 0.3333 | loss: 0.0147 | episode: 58
2025-12-04T12:12:44.823799 | Episode 59 | reward: 24.2167 | coverage: 0.1667 | loss: 0.0141 | episode: 59
2025-12-04T12:12:48.883726 | Episode 60 | reward: 15.2667 | coverage: 0.0000 | loss: 0.0138 | episode: 60
2025-12-04T12:12:53.009036 | Episode 61 | reward: 21.7500 | coverage: 0.1667 | loss: 0.0139 | episode: 61
2025-12-04T12:12:57.124111 | Episode 62 | reward: 27.8667 | coverage: 0.0000 | loss: 0.0150 | episode: 62
2025-12-04T12:13:01.189800 | Episode 63 | reward: 18.3500 | coverage: 0.3333 | loss: 0.0145 | episode: 63
2025-12-04T12:13:05.308194 | Episode 64 | reward: 14.5667 | coverage: 0.0000 | loss: 0.0130 | episode: 64
2025-12-04T12:13:09.451124 | Episode 65 | reward: 17.7667 | coverage: 0.1667 | loss: 0.0147 | episode: 65
2025-12-04T12:13:13.515635 | Episode 66 | reward: 21.1500 | coverage: 0.5000 | loss: 0.0149 | episode: 66
2025-12-04T12:13:17.572314 | Episode 67 | reward: 20.8167 | coverage: 0.0000 | loss: 0.0144 | episode: 67
2025-12-04T12:13:21.672085 | Episode 68 | reward: 30.8667 | coverage: 0.1667 | loss: 0.0144 | episode: 68
2025-12-04T12:13:25.767108 | Episode 69 | reward: 17.1500 | coverage: 0.0000 | loss: 0.0132 | episode: 69
2025-12-04T12:13:29.813928 | Episode 70 | reward: 11.2333 | coverage: 0.1667 | loss: 0.0139 | episode: 70
2025-12-04T12:13:33.862913 | Episode 71 | reward: 12.6333 | coverage: 0.1667 | loss: 0.0142 | episode: 71
2025-12-04T12:13:38.424894 | Episode 72 | reward: 31.6500 | coverage: 0.0000 | loss: 0.0141 | episode: 72
