2025-12-04T12:27:29.570908 | Episode 1 | reward: 16.8667 | coverage: 0.1667 | loss: 0.0000 | episode: 1
2025-12-04T12:27:29.650681 | Episode 2 | reward: 19.8000 | coverage: 0.1667 | loss: 0.0000 | episode: 2
2025-12-04T12:27:29.730756 | Episode 3 | reward: 10.2667 | coverage: 0.0000 | loss: 0.0000 | episode: 3
2025-12-04T12:27:29.815071 | Episode 4 | reward: 28.0833 | coverage: 0.3333 | loss: 0.0000 | episode: 4
2025-12-04T12:27:29.891138 | Episode 5 | reward: 25.6167 | coverage: 0.1667 | loss: 0.0000 | episode: 5
2025-12-04T12:27:29.973393 | Episode 6 | reward: 16.6000 | coverage: 0.3333 | loss: 0.0000 | episode: 6
2025-12-04T12:27:30.054787 | Episode 7 | reward: 19.4667 | coverage: 0.1667 | loss: 0.0000 | episode: 7
2025-12-04T12:27:30.133898 | Episode 8 | reward: 10.0167 | coverage: 0.1667 | loss: 0.0000 | episode: 8
2025-12-04T12:27:30.210079 | Episode 9 | reward: 8.1667 | coverage: 0.1667 | loss: 0.0000 | episode: 9
2025-12-04T12:27:30.290631 | Episode 10 | reward: 23.8167 | coverage: 0.1667 | loss: 0.0000 | episode: 10
2025-12-04T12:27:30.370530 | Episode 11 | reward: 11.4833 | coverage: 0.1667 | loss: 0.0000 | episode: 11
2025-12-04T12:27:30.451120 | Episode 12 | reward: 14.2833 | coverage: 0.1667 | loss: 0.0000 | episode: 12
2025-12-04T12:27:30.531119 | Episode 13 | reward: 15.7333 | coverage: 0.3333 | loss: 0.0000 | episode: 13
2025-12-04T12:27:30.607507 | Episode 14 | reward: 12.4333 | coverage: 0.1667 | loss: 0.0000 | episode: 14
2025-12-04T12:27:30.685542 | Episode 15 | reward: 17.3333 | coverage: 0.1667 | loss: 0.0000 | episode: 15
2025-12-04T12:27:30.763574 | Episode 16 | reward: 30.3667 | coverage: 0.1667 | loss: 0.0000 | episode: 16
2025-12-04T12:27:30.847350 | Episode 17 | reward: 14.9167 | coverage: 0.1667 | loss: 0.0000 | episode: 17
2025-12-04T12:27:30.926666 | Episode 18 | reward: 10.1833 | coverage: 0.1667 | loss: 0.0000 | episode: 18
2025-12-04T12:27:31.009616 | Episode 19 | reward: 16.3500 | coverage: 0.0000 | loss: 0.0000 | episode: 19
2025-12-04T12:27:31.098251 | Episode 20 | reward: 23.7500 | coverage: 0.1667 | loss: 0.0000 | episode: 20
2025-12-04T12:27:31.179793 | Episode 21 | reward: 19.0167 | coverage: 0.3333 | loss: 0.0000 | episode: 21
2025-12-04T12:27:31.263345 | Episode 22 | reward: 9.4667 | coverage: 0.0000 | loss: 0.0000 | episode: 22
2025-12-04T12:27:31.350219 | Episode 23 | reward: 11.4833 | coverage: 0.0000 | loss: 0.0000 | episode: 23
2025-12-04T12:27:31.441351 | Episode 24 | reward: 15.4333 | coverage: 0.1667 | loss: 0.0000 | episode: 24
2025-12-04T12:27:31.523965 | Episode 25 | reward: 15.5333 | coverage: 0.0000 | loss: 0.0000 | episode: 25
2025-12-04T12:27:31.603165 | Episode 26 | reward: 21.1833 | coverage: 0.5000 | loss: 0.0000 | episode: 26
2025-12-04T12:27:31.678249 | Episode 27 | reward: 19.1667 | coverage: 0.0000 | loss: 0.0000 | episode: 27
2025-12-04T12:27:31.761719 | Episode 28 | reward: 23.8333 | coverage: 0.1667 | loss: 0.0000 | episode: 28
2025-12-04T12:27:31.842243 | Episode 29 | reward: 12.3333 | coverage: 0.1667 | loss: 0.0000 | episode: 29
2025-12-04T12:27:31.928703 | Episode 30 | reward: 21.6667 | coverage: 0.3333 | loss: 0.0000 | episode: 30
2025-12-04T12:27:32.011133 | Episode 31 | reward: 16.0667 | coverage: 0.3333 | loss: 0.0000 | episode: 31
2025-12-04T12:27:34.073655 | Episode 32 | reward: 12.8500 | coverage: 0.6667 | loss: 0.0272 | episode: 32
2025-12-04T12:27:35.679178 | Episode 33 | reward: 6.6333 | coverage: 0.3333 | loss: 0.0146 | episode: 33
2025-12-04T12:27:37.274225 | Episode 34 | reward: 14.1167 | coverage: 0.1667 | loss: 0.0128 | episode: 34
2025-12-04T12:27:38.939039 | Episode 35 | reward: 18.0000 | coverage: 0.1667 | loss: 0.0130 | episode: 35
2025-12-04T12:27:40.563958 | Episode 36 | reward: 10.9000 | coverage: 0.0000 | loss: 0.0122 | episode: 36
2025-12-04T12:27:42.376891 | Episode 37 | reward: 21.9333 | coverage: 0.0000 | loss: 0.0121 | episode: 37
2025-12-04T12:27:44.182726 | Episode 38 | reward: 18.2833 | coverage: 0.0000 | loss: 0.0124 | episode: 38
2025-12-04T12:27:45.911738 | Episode 39 | reward: 19.3167 | coverage: 0.0000 | loss: 0.0123 | episode: 39
2025-12-04T12:27:47.739666 | Episode 40 | reward: 25.2500 | coverage: 0.1667 | loss: 0.0134 | episode: 40
2025-12-04T12:27:49.541683 | Episode 41 | reward: 14.4667 | coverage: 0.0000 | loss: 0.0132 | episode: 41
2025-12-04T12:27:51.396291 | Episode 42 | reward: 9.3167 | coverage: 0.5000 | loss: 0.0118 | episode: 42
2025-12-04T12:27:53.285075 | Episode 43 | reward: 20.0833 | coverage: 0.1667 | loss: 0.0128 | episode: 43
2025-12-04T12:27:55.064047 | Episode 44 | reward: 17.2000 | coverage: 0.0000 | loss: 0.0121 | episode: 44
2025-12-04T12:27:57.047425 | Episode 45 | reward: 9.8333 | coverage: 0.0000 | loss: 0.0128 | episode: 45
2025-12-04T12:27:58.831183 | Episode 46 | reward: 18.7833 | coverage: 0.0000 | loss: 0.0116 | episode: 46
2025-12-04T12:28:00.661768 | Episode 47 | reward: 28.4833 | coverage: 0.3333 | loss: 0.0118 | episode: 47
2025-12-04T12:28:02.313845 | Episode 48 | reward: 13.4500 | coverage: 0.0000 | loss: 0.0127 | episode: 48
2025-12-04T12:28:04.078126 | Episode 49 | reward: 13.3333 | coverage: 0.0000 | loss: 0.0123 | episode: 49
2025-12-04T12:28:05.909813 | Episode 50 | reward: 19.8500 | coverage: 0.1667 | loss: 0.0121 | episode: 50
2025-12-04T12:28:08.093300 | Episode 51 | reward: 24.4500 | coverage: 0.1667 | loss: 0.0116 | episode: 51
2025-12-04T12:28:09.823271 | Episode 52 | reward: 20.0333 | coverage: 0.1667 | loss: 0.0130 | episode: 52
2025-12-04T12:28:11.513033 | Episode 53 | reward: 12.9500 | coverage: 0.5000 | loss: 0.0128 | episode: 53
2025-12-04T12:28:13.311980 | Episode 54 | reward: 19.9833 | coverage: 0.5000 | loss: 0.0117 | episode: 54
2025-12-04T12:28:15.074695 | Episode 55 | reward: 29.6667 | coverage: 0.3333 | loss: 0.0126 | episode: 55
2025-12-04T12:28:16.990597 | Episode 56 | reward: 12.7167 | coverage: 0.0000 | loss: 0.0116 | episode: 56
2025-12-04T12:28:18.824842 | Episode 57 | reward: 22.9333 | coverage: 0.0000 | loss: 0.0122 | episode: 57
2025-12-04T12:28:20.542803 | Episode 58 | reward: 22.0833 | coverage: 0.0000 | loss: 0.0128 | episode: 58
2025-12-04T12:28:22.322950 | Episode 59 | reward: 28.0500 | coverage: 0.0000 | loss: 0.0119 | episode: 59
2025-12-04T12:28:24.040040 | Episode 60 | reward: 27.2500 | coverage: 0.1667 | loss: 0.0128 | episode: 60
2025-12-04T12:28:25.775764 | Episode 61 | reward: 31.9833 | coverage: 0.5000 | loss: 0.0142 | episode: 61
2025-12-04T12:28:27.486610 | Episode 62 | reward: 28.6500 | coverage: 0.3333 | loss: 0.0137 | episode: 62
2025-12-04T12:28:29.196903 | Episode 63 | reward: 17.2667 | coverage: 0.3333 | loss: 0.0128 | episode: 63
2025-12-04T12:28:31.000265 | Episode 64 | reward: 19.2500 | coverage: 0.0000 | loss: 0.0140 | episode: 64
2025-12-04T12:28:32.749405 | Episode 65 | reward: 19.5167 | coverage: 0.5000 | loss: 0.0124 | episode: 65
2025-12-04T12:28:34.444535 | Episode 66 | reward: 25.2667 | coverage: 0.3333 | loss: 0.0125 | episode: 66
