2025-12-01T13:54:11.929809 | Episode 1 | reward: 10.1667 | coverage: 0.3333 | loss: 0.0000 | episode: 1
2025-12-01T13:54:12.000035 | Episode 2 | reward: 22.5000 | coverage: 0.3333 | loss: 0.0000 | episode: 2
2025-12-01T13:54:12.069768 | Episode 3 | reward: 8.8333 | coverage: 0.3333 | loss: 0.0000 | episode: 3
2025-12-01T13:54:12.141781 | Episode 4 | reward: 24.6667 | coverage: 0.1667 | loss: 0.0000 | episode: 4
2025-12-01T13:54:12.211804 | Episode 5 | reward: 22.1667 | coverage: 0.3333 | loss: 0.0000 | episode: 5
2025-12-01T13:54:12.279301 | Episode 6 | reward: 18.0000 | coverage: 0.5000 | loss: 0.0000 | episode: 6
2025-12-01T13:54:12.346954 | Episode 7 | reward: 16.1667 | coverage: 0.1667 | loss: 0.0000 | episode: 7
2025-12-01T13:54:12.419501 | Episode 8 | reward: 16.1667 | coverage: 0.3333 | loss: 0.0000 | episode: 8
2025-12-01T13:54:12.490885 | Episode 9 | reward: 17.5000 | coverage: 0.0000 | loss: 0.0000 | episode: 9
2025-12-01T13:54:12.560396 | Episode 10 | reward: 20.1667 | coverage: 0.1667 | loss: 0.0000 | episode: 10
2025-12-01T13:54:12.629615 | Episode 11 | reward: 10.5000 | coverage: 0.1667 | loss: 0.0000 | episode: 11
2025-12-01T13:54:12.698051 | Episode 12 | reward: 18.0000 | coverage: 0.1667 | loss: 0.0000 | episode: 12
2025-12-01T13:54:12.766669 | Episode 13 | reward: 14.1667 | coverage: 0.3333 | loss: 0.0000 | episode: 13
2025-12-01T13:54:12.835092 | Episode 14 | reward: 13.0000 | coverage: 0.1667 | loss: 0.0000 | episode: 14
2025-12-01T13:54:12.906421 | Episode 15 | reward: 17.3333 | coverage: 0.3333 | loss: 0.0000 | episode: 15
2025-12-01T13:54:12.975707 | Episode 16 | reward: 31.3333 | coverage: 0.3333 | loss: 0.0000 | episode: 16
2025-12-01T13:54:13.044189 | Episode 17 | reward: 16.5000 | coverage: 0.3333 | loss: 0.0000 | episode: 17
2025-12-01T13:54:13.114468 | Episode 18 | reward: 17.1667 | coverage: 0.1667 | loss: 0.0000 | episode: 18
2025-12-01T13:54:13.186181 | Episode 19 | reward: 18.0000 | coverage: 0.1667 | loss: 0.0000 | episode: 19
2025-12-01T13:54:13.255057 | Episode 20 | reward: 22.3333 | coverage: 0.0000 | loss: 0.0000 | episode: 20
2025-12-01T13:54:13.324894 | Episode 21 | reward: 18.3333 | coverage: 0.1667 | loss: 0.0000 | episode: 21
2025-12-01T13:54:13.396534 | Episode 22 | reward: 10.1667 | coverage: 0.0000 | loss: 0.0000 | episode: 22
2025-12-01T13:54:13.468541 | Episode 23 | reward: 15.0000 | coverage: 0.1667 | loss: 0.0000 | episode: 23
2025-12-01T13:54:13.538165 | Episode 24 | reward: 23.5000 | coverage: 0.3333 | loss: 0.0000 | episode: 24
2025-12-01T13:54:13.609736 | Episode 25 | reward: 16.0000 | coverage: 0.0000 | loss: 0.0000 | episode: 25
2025-12-01T13:54:13.679651 | Episode 26 | reward: 11.8333 | coverage: 0.0000 | loss: 0.0000 | episode: 26
2025-12-01T13:54:13.749058 | Episode 27 | reward: 20.6667 | coverage: 0.1667 | loss: 0.0000 | episode: 27
2025-12-01T13:54:13.818806 | Episode 28 | reward: 34.1667 | coverage: 0.0000 | loss: 0.0000 | episode: 28
2025-12-01T13:54:13.887347 | Episode 29 | reward: 11.8333 | coverage: 0.5000 | loss: 0.0000 | episode: 29
2025-12-01T13:54:13.957150 | Episode 30 | reward: 18.0000 | coverage: 0.6667 | loss: 0.0000 | episode: 30
2025-12-01T13:54:14.026547 | Episode 31 | reward: 8.0000 | coverage: 0.1667 | loss: 0.0000 | episode: 31
2025-12-01T13:54:14.695933 | Episode 32 | reward: 14.6667 | coverage: 0.6667 | loss: 0.0999 | episode: 32
2025-12-01T13:54:15.005957 | Episode 33 | reward: 8.5000 | coverage: 0.3333 | loss: 0.0860 | episode: 33
2025-12-01T13:54:15.316801 | Episode 34 | reward: 8.3333 | coverage: 0.1667 | loss: 0.0742 | episode: 34
2025-12-01T13:54:15.628291 | Episode 35 | reward: 20.0000 | coverage: 0.0000 | loss: 0.0551 | episode: 35
2025-12-01T13:54:15.949440 | Episode 36 | reward: 10.1667 | coverage: 0.0000 | loss: 0.0570 | episode: 36
2025-12-01T13:54:16.270893 | Episode 37 | reward: 24.5000 | coverage: 0.3333 | loss: 0.0588 | episode: 37
2025-12-01T13:54:16.588289 | Episode 38 | reward: 20.8333 | coverage: 0.1667 | loss: 0.0585 | episode: 38
2025-12-01T13:54:16.894761 | Episode 39 | reward: 18.8333 | coverage: 0.1667 | loss: 0.0544 | episode: 39
2025-12-01T13:54:17.204411 | Episode 40 | reward: 21.5000 | coverage: 0.1667 | loss: 0.0633 | episode: 40
2025-12-01T13:54:17.511019 | Episode 41 | reward: 12.6667 | coverage: 0.1667 | loss: 0.0703 | episode: 41
2025-12-01T13:54:17.814143 | Episode 42 | reward: 11.0000 | coverage: 0.1667 | loss: 0.0572 | episode: 42
2025-12-01T13:54:18.121058 | Episode 43 | reward: 24.0000 | coverage: 0.1667 | loss: 0.0613 | episode: 43
2025-12-01T13:54:18.430859 | Episode 44 | reward: 10.6667 | coverage: 0.0000 | loss: 0.0538 | episode: 44
2025-12-01T13:54:18.743064 | Episode 45 | reward: 9.8333 | coverage: 0.0000 | loss: 0.0505 | episode: 45
2025-12-01T13:54:19.045293 | Episode 46 | reward: 23.3333 | coverage: 0.1667 | loss: 0.0592 | episode: 46
2025-12-01T13:54:19.356895 | Episode 47 | reward: 26.3333 | coverage: 0.3333 | loss: 0.0514 | episode: 47
2025-12-01T13:54:19.665993 | Episode 48 | reward: 28.8333 | coverage: 0.3333 | loss: 0.0553 | episode: 48
2025-12-01T13:54:19.975490 | Episode 49 | reward: 18.5000 | coverage: 0.3333 | loss: 0.0541 | episode: 49
2025-12-01T13:54:20.288037 | Episode 50 | reward: 17.3333 | coverage: 0.3333 | loss: 0.0526 | episode: 50
