2025-12-05T09:30:28.997247 | Episode 8 | reward: 20.1833 | coverage: 0.3333 | loss: 0.0000 | episode: 8
2025-12-05T09:30:29.213198 | Episode 16 | reward: 19.4167 | coverage: 0.0000 | loss: 0.0000 | episode: 16
2025-12-05T09:30:29.444247 | Episode 24 | reward: 10.3333 | coverage: 0.1667 | loss: 0.0000 | episode: 24
2025-12-05T09:30:37.090239 | Episode 32 | reward: 17.3000 | coverage: 0.1667 | loss: 0.0180 | episode: 32
2025-12-05T09:30:44.247688 | Episode 40 | reward: 29.5833 | coverage: 0.3333 | loss: 0.0138 | episode: 40
2025-12-05T09:30:51.460887 | Episode 48 | reward: 17.0000 | coverage: 0.0000 | loss: 0.0146 | episode: 48
2025-12-05T09:30:58.886199 | Episode 56 | reward: 21.5833 | coverage: 0.0000 | loss: 0.0143 | episode: 56
2025-12-05T09:31:06.407656 | Episode 64 | reward: 37.2667 | coverage: 0.0000 | loss: 0.0153 | episode: 64
2025-12-05T09:31:13.922259 | Episode 72 | reward: 16.0000 | coverage: 0.0000 | loss: 0.0154 | episode: 72
2025-12-05T09:31:21.616626 | Episode 80 | reward: 25.8500 | coverage: 0.0000 | loss: 0.0144 | episode: 80
2025-12-05T09:31:28.947346 | Episode 88 | reward: 11.8667 | coverage: 0.1667 | loss: 0.0155 | episode: 88
2025-12-05T09:31:36.078346 | Episode 96 | reward: 18.9833 | coverage: 0.3333 | loss: 0.0148 | episode: 96
2025-12-05T09:31:46.926014 | Episode 104 | reward: 24.2667 | coverage: 0.5000 | loss: 0.0145 | episode: 104
2025-12-05T09:31:57.767728 | Episode 112 | reward: 8.8667 | coverage: 0.0000 | loss: 0.0148 | episode: 112
2025-12-05T09:32:08.884780 | Episode 120 | reward: 32.6500 | coverage: 0.3333 | loss: 0.0155 | episode: 120
2025-12-05T09:32:19.691780 | Episode 128 | reward: 18.3000 | coverage: 0.0000 | loss: 0.0152 | episode: 128
2025-12-05T09:32:30.222114 | Episode 136 | reward: 9.4667 | coverage: 0.0000 | loss: 0.0147 | episode: 136
2025-12-05T09:32:41.385661 | Episode 144 | reward: 33.2333 | coverage: 0.0000 | loss: 0.0150 | episode: 144
2025-12-05T09:32:51.664965 | Episode 152 | reward: 14.1833 | coverage: 0.0000 | loss: 0.0154 | episode: 152
2025-12-05T09:33:02.482435 | Episode 160 | reward: 7.5000 | coverage: 0.0000 | loss: 0.0157 | episode: 160
2025-12-05T09:33:13.520937 | Episode 168 | reward: 13.3500 | coverage: 0.1667 | loss: 0.0145 | episode: 168
2025-12-05T09:33:24.683717 | Episode 176 | reward: 14.7333 | coverage: 0.1667 | loss: 0.0155 | episode: 176
2025-12-05T09:33:36.084800 | Episode 184 | reward: 11.9833 | coverage: 0.3333 | loss: 0.0157 | episode: 184
2025-12-05T09:33:46.864475 | Episode 192 | reward: 24.2833 | coverage: 0.1667 | loss: 0.0148 | episode: 192
2025-12-05T09:33:58.032120 | Episode 200 | reward: 18.6333 | coverage: 0.0000 | loss: 0.0149 | episode: 200
2025-12-05T09:34:08.610073 | Episode 208 | reward: 14.1333 | coverage: 0.0000 | loss: 0.0154 | episode: 208
2025-12-05T09:34:19.909667 | Episode 216 | reward: 18.0167 | coverage: 0.3333 | loss: 0.0150 | episode: 216
2025-12-05T09:34:30.960692 | Episode 224 | reward: 15.1167 | coverage: 0.3333 | loss: 0.0154 | episode: 224
2025-12-05T09:34:42.226951 | Episode 232 | reward: 15.1167 | coverage: 0.0000 | loss: 0.0137 | episode: 232
2025-12-05T09:34:52.898317 | Episode 240 | reward: 21.4667 | coverage: 0.1667 | loss: 0.0157 | episode: 240
2025-12-05T09:35:04.076315 | Episode 248 | reward: 35.0833 | coverage: 0.3333 | loss: 0.0142 | episode: 248
2025-12-05T09:35:14.931160 | Episode 256 | reward: 18.5167 | coverage: 0.1667 | loss: 0.0157 | episode: 256
2025-12-05T09:35:25.913423 | Episode 264 | reward: 13.5167 | coverage: 0.1667 | loss: 0.0148 | episode: 264
2025-12-05T09:35:37.160513 | Episode 272 | reward: 10.7667 | coverage: 0.3333 | loss: 0.0154 | episode: 272
2025-12-05T09:35:48.020796 | Episode 280 | reward: 22.9833 | coverage: 0.0000 | loss: 0.0141 | episode: 280
2025-12-05T09:35:58.943364 | Episode 288 | reward: 24.0500 | coverage: 0.0000 | loss: 0.0144 | episode: 288
2025-12-05T09:36:09.834019 | Episode 296 | reward: 17.6333 | coverage: 0.1667 | loss: 0.0152 | episode: 296
2025-12-05T09:36:20.312432 | Episode 304 | reward: 15.0333 | coverage: 0.0000 | loss: 0.0159 | episode: 304
2025-12-05T09:36:31.036066 | Episode 312 | reward: 21.6333 | coverage: 0.1667 | loss: 0.0155 | episode: 312
2025-12-05T09:36:41.844568 | Episode 320 | reward: 14.4500 | coverage: 0.1667 | loss: 0.0145 | episode: 320
2025-12-05T09:36:52.586932 | Episode 328 | reward: 19.5000 | coverage: 0.0000 | loss: 0.0150 | episode: 328
2025-12-05T09:37:03.282691 | Episode 336 | reward: 18.6333 | coverage: 0.1667 | loss: 0.0158 | episode: 336
2025-12-05T09:37:14.293053 | Episode 344 | reward: 17.8833 | coverage: 0.0000 | loss: 0.0144 | episode: 344
2025-12-05T09:37:25.054625 | Episode 352 | reward: 18.0000 | coverage: 0.3333 | loss: 0.0146 | episode: 352
2025-12-05T09:37:35.918505 | Episode 360 | reward: 18.1167 | coverage: 0.0000 | loss: 0.0147 | episode: 360
